Wine;Number of reviews;Summary
Celilo Vineyard;24;The brilliantly displayed floral, citrus and mineral scents lead into a soft, rich and thoroughly delicious wine with layers of green berry, citrus, melon and mineral, along with refreshing acids and a streak of toasty hazelnut. This is at first a rather austere, compact wine, but it is dense with layers of flavor and representative of one of the most unique terroirs in the Pacific Northwest. A lovely counterpoint to Phelps Creek's estate reserve Chardonnay, this comes from just across the river, sourced from a vineyard on the Washington side of this two-state AVA.
Ghielmetti Vineyard;24;Soft, round and leathery tannins give way to plum, cherry, cranberry and sage in this subtly rendered Cab Franc out of one of the Livermore Valley's most vaulted vineyards, an approachable version of California Cab Franc that's moderate in price and alcohol (13.9%). A good wine, not a great one, that shows why Petit Verdot on its own is hard to make into a complete wine, although from a marketing point of view, it has a certain tale to tell. A sensational varietal Petit Verdot that's rich and velvety, lush and intense, with a hint of Bordeaux's typical herbiness, that evolves into some of the best blackberry, mocha and spicy chocolate you can imagine.
Colección;24;The fresh berry aromas are solid, and the palate is plucky and lively, with plenty of acidity to push the ripe, standard Malbec flavors of blackberry and spice. Medicinal and feral on the nose, then heavy, thick and extremely creamy and soft in the mouth, with bland, flat flavors of milk, carob and vanilla. Core berry aromas are fresh and solid, while nuances of wild herbs, leather and smoky rubber give this Malbec some character out of the chute.
Colheita Seleccionada;24;It does have a rich core of red fruit, giving a slightly juicy character, but with its tannins it will always be a firm wine, dense and serious. Firm tannins underpin the bright, bold flavors and suggest that this is a wine that could age for a few years but is also very enjoyable now. More commonly found in the Lisboa region much further south in Portugal, the Arinto is full of acidity and fits well into the Vinho Verde profile.
Joven;24;A round, pulpy palate is balanced by citric acidity, while waxy flavors of baked apple and peach finish briny and round, with a hint of green banana. A bit funky and gassy on the nose, and while the wine offers ripeness and sweetness on the palate, there's always a little something strange and sulfuric lingering. At first the nose is high toned and jumpy, but with time it falls into a good place with a medicinal berry note at the fore.
Made with Organic Grapes;24;"This feels juicy and as fresh as basic Spanish red wine gets; flavors of blackberry, dark plum and a hint of chocolate are rolled into one and finish clean. It has firm acidity, a refreshing texture, and just enough heft in the body to serve with appetizers and cheese, but will also stand up to rich seafood preparations. This feels sticky and a bit heavy, while blueberry and boysenberry flavors carry and herbal streak as well as minty notes and heat on the finish."
Natura;25;With a ruby color and loud aromas of berry fruits, vanilla and graphite, this value Syrah pumps up the volume with plenty of berry fruit, mild buttery oak, herbal hints and wiry acidity. The palate has good life and snap to it, with flavors of black cherry, plum, chocolaty oak and a dash of cough medicine. Flavors of citrus, green herbs and brine finish with a mix of bitterness and notes of tangy green apple and passion fruit.
Sleepy Hollow Vineyard;25;Although this Pinot is captivatingly rich in raspberry and cherry pie filling, red currant and Dr. Pepper cola flavors, it also has fine acidity and smooth, complex tannins, and a lovely overlay of sweet, smoky oak. Made in the modern style of superripe fruit and lots of oak, this Chardonnay is massive in the long hangtime tropical fruit, pear and peach flavors that the vineyard so easily achieves. The green fruit flavors carry to the palate, where Granny Smith apples, green Anjou pear and lime juice mix with lemon peel and white rocks.
Buissonnier;25;Apart from being part of a sparkling wine blend, Aligoté is found in the Côte Chalonnaise where it produces ripe full wines. A stalky, herbal element contrasts with the red currant fruit flavors. They have a delicious crisp green fruit and floral character.
Q;25;From a replanted single vineyard, single clone site, the first vintage since that replanting in 2009, there's a youthful awkwardness still at play here, though the wine is quite juicy in black cherry and a lingering suggestion of soy. Very light-bodied, slight but textbook Grüner with green pear fruit on nose and palate and an almost fizzy, refreshing and utterly appetizing hint of white pepper. Opening with subtle berry aromas and hints of herb, rubber and leather, this is sturdy as a rock, with dry, spicy plum and cassis flavors.
Schoenenbourg Grand Cru;25;Notes of earth mix with notes of leafy apple on the nose, the dry, fresh palate continues in that earthy vein and finishes dry with a bruised apple flavor. These wonderfully herb-scented notions continue on the exemplary dry palate: Imagine a lick of scented, dried chamomile embracing notions of dried and fresh apple and citrus peel. The palate is a fruity little number of more soft orange with hints of quince and pear peel, giving a tangy, textured and slightly earthy edge.
Sanford & Benedict Vineyard;25;A clean and crisp style of Viognier, which comes in all forms these days, this bottling is light yet expressive on the nose with yellow grapefruit, lemon ice and a touch of chamomile tea. That means it's dry, silky and rich, and has that elusive, undefinable quality of elegance that can accompany the finest Pinot-friendly foods, such as steak, lamb, grilled tuna or a wild mushroom risotto. Earthy aromas of juniper and forest floor give depth to the rusty cherry, tart cranberry, dried hibiscus and pepper-dust scents on the nose of this bottling from the historic vineyard.
Tondre Grapefield;25;Dark red cherry and raspberry blend with the slightest hints of thyme and slate on the nose of this bottling, which is made in a urban facility in the coastal city of Marina. Red cherry, root beer, a touch of sage and bay leaf and an shiitake-powered umami sensation decorate the nose on this wine from one of many single-vineyard expressions in this producer's portfolio. Intriguing notes of honey, poached pear, apple with drizzled caramel and a light touch of marzipan show on the nose on this bottling that leans somewhat sweet in aromas.
Estate Selection;26;The fruit is tart and clean, and the wine comes out swinging, but then it falls away in the back end, adding just a lick of vanilla as a sweet coda. This is a blend of five different Dundee Hills sites, and as is often the case in Oregon, delivers more accessible and complete flavors than some of the winery's individual vineyard-designated wines. It's fairly fresh and juicy in the mouth despite a mild resiny oak feel, and flavors of meaty berry fruits are fully spiced like a licorice gum drop.
Rosado;26;It's fairly dark for a rosé and quite full-bodied in cherry jam, pepper and vanilla flavors, while a splash of Albariño adds needed acidity and the bright taste of citrus. Flavors of orange, peach and cantaloupe are sweet but flat, and in the end it tastes more like a fruit juice than a really solid dry rosé. The nose is candied but fresh and nice, while the palate is full but standard, with plump melon, citrus and raspberry flavors.
Pfersigberg Grand Cru;26;Lifted, fresh notes of peach on nose and palate somehow manage to pull off a wine of utter freshness that is soft, mellow and rounded at the same time. Well on the way to sweet, this soft, spicy wine has light acidity and a gentle feel, with just a tangy, mineral edge to suggest some potential. These notions persist on the palate where the peach and ripe yellow-plum notes are boosted by residual sweetness and countered by phenolic, slightly zesty but pleasant bitterness.
Semi Dry;26;It's rare to grow Riesling on Long Island, but this is chock full of ripe peaches and apricots highlighted by a shower of Meyer lemon acidity and fragrant white blossoms. Pretty on the nose, with delicate floral and stone-fruit aromas, it builds in intensity and power on the palate, with a crush of sweet-tart grapefruit and nectarine flavors. Just slightly off-dry with loads of sweet, fresh apple flavors and a brisk, lemony acidity, the finish ends on an elegant jasmine tea note.
Ice Wine;26;"Once you get beyond the billowing violet and gardenia notes on the nose and palate, you're likely to find a surprisingly delicate sip that's bright with lime-juice acidity and honeyed pineapple and hibiscus-nectar flavors. Tasting more like a late harvest than a true ice wine, this soft, lush and creamy wine bring lots of mashed banana flavors, very smooth and rich, with butter, caramel and butterscotch. Spice and melons illuminate the nose; the wine displays amazing concentration, with deep, syrupy peach and apricot fruit, and a bit of sugar and toasted coconut in the finish."
Claret;26;"The herbal aspects show in some black olive and black tea flavors; the tannins are strong and supple, and the wine has a sinuous finish suggesting both strength and length. The tannins bring a bit of grip and dryness that hopefully smooths out with some additional time in the bottle but it has the stuffing to go the distance. A blend of nearly two-thirds Cabernet Sauvignon with the rest Merlot, Malbec, Cabernet Franc and Petit Verdot, it brings notes of herbs, vanilla extract, cherry and chocolate."
Saralee's Vineyard;26;Tasting somewhere between dry and off dry on the sweetness spectrum, this has tropical fruit, white flower and spice flavors that make it a perfect accompaniment to modern Thai, Vietnamese, Chinese, Burmese and even Indian fare. Highly aromatic in white flowers and even a whiff of roses, it dances on the palate, the acidity tight and able to lift the texture to new heights of flavor and freshness. Tight in acidity and tannins now, but very complex, offering a range of cherry, tangerine zest, mushroom, cola and Indian spice flavors that swirl to a long finish.
Traditions;26;A benchmark style for Washington Riesling, this mixes stone and citrus fruits, adds highlights of wintergreen spice, hints of honeysuckle, lemon and tea, and finishes with some fruit sweetness, though the wine is essentially dry. There's a pretty fair streak of vanilla, which suggests some sort of oak chip treatment, but it fills out the middle and delivers the sort of flavors that many consumers will love. The blend was so well done that each component adds a vital piece to the whole—smooth berry and cherry fruits, spice, tobacco, licorice and smoke, folding into a lush and chocolaty finish.
Les Charmes;26;"The nose is dominated by the attractive scents of new French oak, with some hints of pipe tobacco and just a whiff of volatile acidity. It is tight and tannic, a bit ""lifted"" with the VA, and at this point not showing much fruit or complexity, given the price. A new cuvée (this is the second vintage) from Domaine Charles Joguet, the wine has tannins as well as a strongly mineral character."
Red;26;"It is difficult not to think that the winery just had an extra few barrels of Pinot around and decided to blend it in; the wine is a diffuse mix of generic red fruits and sharp acids, that thins out quickly in the finish. Toasty and full-bodied, two-thirds Cabernet, the rest Merlot, Cab Franc and Syrah, this is a nicely blended wine but not yet showing the precision and structural detail of the superTuscans it is modeled upon. Three-fifths Merlot, one quarter Cab Franc and the rest Cabernet Sauvignon, this Bordeaux-style blend shows ripe fruit scents of raisin and prune, offset with baking spices and plenty of chocolate and espresso."
Freedom Hill Vineyard;27;Full and somewhat backward, this needs a few years to sort itself out and fully express its generous nature, but you can sense the future now in its power and velvety texture. The biggest production and lowest priced of all the winery's vineyard designates, this is sexy, substantial and one of the best offerings from any winery sourcing fruit from this exceptional vineyard. A blend of fifth leaf Pommard and 30-year-old Wädenswil clones, it's lush and aromatic, sporting bold scents and flavors of ripe raspberry and cherry fruit, with a spine of iron.
Rosenberg;27;The palate is bone dry and we can thus witness the brightness of the fresh acidity counteract masterfully with the richness of a balm-like textured body, leaving a streamlined and elegant Pinot Gris. The richness gives a spicy, peppery edge to the ripe white fruit, and its acidity is almost an afterthought in this mélange of full-bodied fruit and texture. Rounded and mellow, with a backbone of lemony acid, this wine convinces on the palate rather than the nose: there's texture, fresh acidity and mouthfilling length.
Monte Rosso Vineyard;27;From a two-acre block planted to the variety within this stately place, more famous for Zinfandel and Cabernet Sauvignon, this wine is herbal in dried sage, girded in big tannin and exhibiting plenty of density. From the highly sought-after vineyard high atop the Mayacama Mountain Range, this burly red traffics in smoky leather and big, ripe, juicy black fruit, providing touches of spice and smoke along the way. Always a stellar marriage of site and winemaker, this shows an intensity of red fruit, forest and brown sugar, a streak of dried herb subtly pushing its way through, too.
Hyde Vineyard;27;Subtle fruit and baking spice aromas lead to expansive peach, pear and fig flavors riding on a wave of fresh, crisp acidity that keeps this lively through the finish, even though the texture is quite lush and creamy. The reason why this winery scores so well, year after year, in Chardonnay is because the production team knows how to get maximum ripeness out of the grapes, while maintaining an integrity of structure. The esteemed Hyde Vineyard is in Carneros, and is the source for some incredible Syrahs from winemakers like Joseph Phelps and the Hyde Vineyard label itself, and Mira now joins that list.
Ferrington Vineyard;27;Packed with fruit and tannins in almost equal measure, this robust but not heavy wine has a layered texture, bright flavors and a sense of depth and structure that indicate it will improve with time. The most fruit-driven of the Baxter 2013s, this wine has beautiful, bright cherry aromas, pure cherry and raspberry flavors, medium body and enough support from acidity and moderate tannins to provide an appetizing balance. Comes down firmly on the  herbal side, opening with a blast of lemon and dill, but interventions, including barrel fermentation, soften and fatten it and add notes of butter and vanilla.
Limited Selection;27;Baked black plum, gingerbread, dried mint, clove-laden cherry pie and a touch of light licorice show on the nose of this rich style of Pinot from the Santa Ynez-based, family-owned winery. Musty aromas of saddle leather combine with cherry soda on the nose, and the flavors prove a bit thin, with cherry, raspberry and blackberry present amidst tart tannins. Warm aromas of yellow peach, baked-apple croissant, vanilla and marzipan show on the nose of this bottling from the longtime family-run winery near the town of Santa Ynez.
Brut Reserva;27;This leans a little green and soda-like on the nose, but it picks up clarity and speed on the palate, which carries a tangy, citric snap. Floral lilac and plum aromas greet you, followed by a chunky, frothy palate with crisp core acidity and toasty flavors of baked cherry and caramel. The palate runs a little soft and low on acid and bubbles, while the flavor profile is sweet, with lime and apple at the core.
Reserva de Familia;28;"This is full and a touch heavy in feel, with herbal cassis, blackberry, toast and spice flavors that end with oak grain, additional herbal notes and spice accents. Aromas of mint and licorice complement raisin and jammy berry notes on this extracted Malbec that feels flabby around the edges despite a shot of core acidity. This wine is a cipher for the most part; it has flat apple and lemon flavors and then a maderized finish that is wheaty and suggests vanilla."
Pinot Noir;28;Red berries, blood orange, a touch of Grand Marnier, impressive body and spicy highlights all combine in a darn near irresistible rosé with the power to be a four season wine. The striking package sets it apart from all other Rex Hill wines, and the rich, complex flavors add to the impression that this is something truly special. There's sufficient acidity to take a bit of a chill-down in stride, and the finish, though bone dry, has ample fruit sweetness to round out the mouthfeel.
Terrassen;28;A funky yeasty richness still lingers on this very young wine, the palate, however, shows all the promise of a concentrated yet refreshing wine: there is ripe, juicy pear flesh at the core, framed by zesty lime that swings with the peppery freshness of arugula and watercress. This generously fruited but slender Riesling is a study in subtlety: everything is there: ripe Mirabelle plums, zesty lemon peel and a wonderful interplay of the two on the concentrated palate. Soft hints of orange zest on the nose give way to joyous, bright and sprightly lemon zest notes on the slender but concentrated palate.
La Cruz Vineyard;28;This wine opens with full-bodied, rich aromas of caramel-laced apple pie before taking on fresh lightness on the palate defined by floral apple blossom, guava and mango, the midpalate maintaining crisp acidity. Suggestions of raspberries and red cherries come spiced in white pepper and cinnamon, with richer levels of Dr. Pepper cola, mocha and red licorice, all highlighted with the most perfect acidity. Unctuous and intoxicating in dried apricot, honey and peach, this is a lovely example of the variety, which is rarely planted in Northern California, let alone on the Sonoma Coast.
Organic;28;Its bouquet is its strongest asset, offering floral, perfumy notes of white pepper and rhubarb, while the palate is on the light side for Shiraz, but clean and supple. Starts off tight on the nose, offering up only struck flint and citrusy notes, but broadens out on the palate to reveal flavors of melon and white pepper. Once past an element of burnt rubber that mingles with the ripe blackberry aromas, this becomes a hearty and concentrated wine yet one with very moderate alcohol.
Blanco;28;White wine from La Mancha has never been a Spanish strong suit, and while this wine isn't cloying, sharp or dead on arrival, it doesn't add up to much. Made from the folks behind Tangent, this blend of Grenache Blanc and Albariño is rich in orange, white flower and roasted almond flavors, brightened by zesty Edna Valley acidity. The nose is toasty and alluring, but the real play comes in the mouth, which is healthy as an ox, with layered flavors of baked apple, tropical fruits and honey.
Cuvée;28;Toasty graham crackers and nutmeg make for a compelling entry into this wine, a blend of Petite Sirah, Merlot, Carignan, Malbec, Cabernet Franc, Cabernet Sauvignon, Grenache, Syrah and Mourvèdre. A Bordeaux blend with all the usual suspects (except Malbec), Six Sigma's Cuvee has a huge Cabernet Sauvignon nose, all dark berry and plum with a hint of lavender. From Quinta Santa Rosa Vineyard, this blend of three clones shows plump red-plum and hibiscus aromas on the nose as well as sharp cinnamon, cola and sumac spices.
Icewine;28;One of the more expensive Niagara icewines, Konzelman lives up to its price tag with this stylish blend of marzipan and almond notes on the nose and an intense palate laced with macaroon and honey flavors. Sweet and spicy on the nose with mouthwatering scents of honey, plum compote and anise, this Cab icewine is rich and syrupy on the tongue with a deep core of plummy flavors. A very pretty wine with a refined aroma profile of wild strawberry, wet stone, dried cherry and peppery spice backed by rich, candied fruit flavors that manage retain deftness.
Oak Cask;29;After whiffs of burnt rubber and char blow off, this berry-packed Cabernet hits like a small brick with black fruit flavor, which packs punch and aftershocks of cocoa and coffee. Opening aromas of cola and dark fruits are belied by the tangy, edgy palate that's fresh in terms of its raspberry and plum flavors but not all that deep or complex. This value-priced winner is full, round, saturated and generous on the palate, where savory, resiny black-fruit flavors finish woody in flavor and firm in feel.
Fourchaume Premier Cru;29;Made from young vines from the Vaulorent portion of the Fourchaume vineyard, this is an open, rounded and lively wine with white fruits and weight, just lifted by acidity. While the wine has all the steely crispness you expect in a Chablis, it also offers ripe fruitiness that gives a full-bodied, round character. Hints of wood aging and a delicate mineral texture add depth to the palate, but this wine will age quickly, so drink now–2020.
Private Selection;30;It's the kind of crisp, dry white I've had many times at gallery openings and such, inexpensive, but with enough panache to satisfy a picky crowd. While it's basically dry and crisp in acidity, it offers jammy green apple, lemon and lime Lifesaver candy and vanilla notes that appeal to consumers. The Viognier does bring its trademark apricot flavor and creamy texture while the Arinto adds the bright acidity, citrus and crisp apples.
The Reserve;30;Near equal parts Cabernet Sauvignon, Merlot and Malbec with a healthy dash of Petit Verdot providing the frame, it displays notes of toast, coffee, chocolate, plum and woodspice with abundant blue fruit and coffee flavors. Aged in a mixture of French and American oak (33% new), this wine shows a combination of fruit and barrel, with aromas and flavors of vanilla, pencil lead, cocoa and blue fruit. A blend of 69% Cabernet and 31% Shiraz, Yalumba's 2004 The Reserve is still firm and dusty on the finish, suggesting at least another 2–3 years of cellaring are warranted.
Vintage Brut;30;This rich wine is full of ripe white and citrus fruits that combine easily with the tangy, tight texture that comes from the dominance of Pinot Noir in the blend. You can taste the dosage on this Chardonnay, Pinot Noir and Pinot Meunier brut in the overt sweetness that accompanies the pear, citrus and raspberry fruit flavors. Predominantly crafted from Chardonnay, this features a fistful of Pinot Noir and Pinot Meunier to add silky smooth layers of texture and a seductively elegant body.
Vendimia Seleccionada;30;Roasted berry, marzipan, prune, spice and earth are rolled into a solid whole on the bouquet, while the palate rides on the heavy side with grating tannins and deep but clumsy flavors of blackberry, raisin and fruitcake. Potent and raring to go, with lots of young oak and intense fruit that causes the wine to change in the glass in the blink of an eye. The mouthfeel on this young Toro is full and grabby, while flavors of blackberry, oak and related mint finish peppery and blackened, with residual minty oak.
Champoux Vineyard;30;Equal parts Cabernet Sauvignon and Merlot with the balance (6%) Cabernet Franc, this wine leans into the savory with abundant leafy herb, flower and plum aromas that are followed by supple, flavorful earth and tart cherry flavors. From a young block of Cab Franc at the legendary Champoux vineyard, this captures the grape's earthy, herbal elements, bringing the classic green coffee bean streaks to the tannins, and keeping the fruit tight and muscular. Almost all varietal (with 2% Malbec) from one of the state's premier sites, this wine draws you into the glass with aromas of coffee, scorched earth, herb, spice and dark fruit.
Heritage;30;Smooth and supple, almost silky, this dense and delightful Syrah begins with a smoky, meaty run of sweet cherry and berry flavors, then quickly adds interesting nuances of herb and leaf and earth. Made with 21% Cabernet Sauvignon, 4% Malbec and 1% Petit Verdot, this estate-grown wine is made in small lots and offers aromas of baked bread and red fruit from the get-go. This blend of Petite Sirah, Syrah, Grenache and Mourvèdre offers a wide array of aromas to start, from cocoa and mocha to brown spice, gingerbread, dark purple fruits and potpourri.
Sur Lie;30;Totally fresh, this offers attractive, young citrus flavors that are given a broader brush by the creamed apple texture that rounds out the wine. This is just right, balanced with plenty of crisp citrus fruit and a warmer, ripe background of green plums and even apricots. Bright acidity is rounded out by warm peach and pear flavors, with a mineral texture that will allow the wine to age.
Monvigliero;30;This opens with balsamic aromas, leather, ripe raspberry, iris and a heady whiff of pressed powder while the succulent, delicious palate delivers ripe black raspberry, cake spice and aromatic herb. It opens with alluring scents of wild red berry, Alpine herb, truffle, graphite and new leather while the dazzling palate boasts Marasca cherry, clove, cinnamon, tobacco and a balsamic note. Nicely extracted and thick in the mouth with plush layers of black fruit, mineral, ash, leather and vanilla, Monvigliero shows a balanced and elegant side to the 2005 vintage.
Black Label;30;Collin Cranor is a young, eager winemaker looking to make his mark in the Livermore Valley and this wine shows off his skill and ability to work with great fruit to make an interesting wine. With some 30,000 cases produced, this well-distributed wine shows broad appeal with its bright cherry and blackberry aromas that are backed by touches of leather, tar, licorice and dried ginger. The nose is reticent, a touch of apple and vanilla, expanding into a rich seamless palate, but like its sibling, is marred by its finish, which is a little short.
Premier Cru;30;A blend of wines from a number of Chambolle's premier cru vineyards, this is a rich and generous wine, with spice and red berry flavors, plus sweet tannins and a firm feel on the finish. A blend of wines from different Premier Cru vineyards, this is firm, as befits a Pommard, but has such great ripe fruit that it feels almost opulent. It is not powerful but is deliciously balanced with fresh green plum and pink grapefruit flavors rounded out with just the perfect amount of wood.
Cold Creek Vineyard;31;Sensuous, soft and broadly laced with flavors of toasted nuts, brioche and apple pie, this luxurious Chardonnay still maintains a pleasing, focused structure that carries along flavors of lemon and apple, cut against the dominant oak. Offering pleasant, approachable flavors of apple and Asian pear, along with streaks of vanilla and butterscotch, this wine is drinking well and may best be enjoyed while it's fresh and young. Thick and sour, this wine has a waxy fruit component to it that is off-putting and out of sync with the crisp fruit that is trying to compete on the palate.
Grande Reserva;32;"With its solid tannins that are finely integrated into the rich, black plum fruit flavors, it is already a very fine wine and presently drinkable; however, another year would not hurt, so best to savor this dense blend of Alicante Bouschet, Petit Verdot and Syrah after 2017. Inky black in color, this is the top wine from Apegadas, a big, chunky wine that is characterized by dark tannins, bold berry fruits, sweet plums, but also a serious, more austere character to allow it to age. In the smooth, polished style of other wines in the Cistus range from Quinta de Val da Perdiz, this wine has mint aromas, licorice and some bitter chocolate flavors, rounded and burnished with new wood flavors."
Les Collines Vineyard;32;Coming from one of the state's premier Syrah vineyards, this wine starts out aromatically reserved before blossoming to reveal notes of dark raspberry, dried cranberry, woodspice, vanilla and anise. It's restrained in style with pure, tart blue fruit flavors and a light squeeze of tannins that need additional time in bottle to settle in fully. Coming from one of the state's top Syrah sites, this wine dazzles the senses with notes of freshly roasted coffee, char, dark plum and sweet spices.
Bianco;32;A blend of organically farmed Chardonnay and Incrocio Manzoni, partly fermented and aged in terra-cotta amphora, this unusual but intriguing wine opens with aromas of Bartlett pear, pressed white flower and tangerine zest. This blend of Pinot Grigio, Tocai Friuliano and Pinot Blanc from three different vineyards made by winemaker Doug Margerum shows brilliantly juicy aromas of pressed pear, dried apples, apple blossoms and cantaloupe. This excellent blend of Chardonnay and Friulano offers a rich and reassuring feel in the mouth that would stand up to creamy artichoke risotto or white meat.
Grand Estates;32;"From the use of the term Shiraz (rather than Syrah) to the sweet, vanilla-and-tobacco-laden flavors, this seems to be aimed squarely at the consumer who loves a forward, round and rather soft Australian-style wine. As comfortable as an old shoe, the Grand Estates Chardonnay from Columbia Crest delivers broad, open flavors of buttered fruit – almost like biting into a slice of apple pie, crust and all. There is very little suggestion of Sauvignon Blanc's herbal or grassy side; the grapes seem to have been ripened past that point, though not all the way to California-style, tropical fruit flavors."
Steirische Klassik;32;Some tropical passionfruit notes manage to appear despite the aromatic restraint, on the palate they find their expression, but are balanced by fresh lemony flavors that are almost thirst-quenching in this cracking and slender wine. Subdued citrus and pear notes on the nose find fuller expression on the rounded, very textured palate that almost seems to have a pleasingly bitter edge of earth and Bosc pear peel. A fine example of Styria's signature wine style, this Sauvignon Blanc has enticing herbaceous aromas followed by rich, full green plums, white currants and a layer of sweet, full acidity.
Marques de Casa Concha;32;Red and dense in color, with plum and raspberry aromas supported by a strong scent of barrel char, this is a generous, plump Pinot showing a mix of plum, berry and herbal flavors. Nice aromas of cherry fruit and sweetness are perfectly clean, while the palate is slightly spunky and high in acid, with wild-berry flavors running side by side with red cherry and citrus. The palate is short on substance and high on acid, so the flavors are racy and angular, and with all the oak influence this wine smells and tastes charred, toasted and blackened.
Grand Vin;33;A delicious vintage of Grand Vin, this wine shows great depth and drinkability now with the promise to age gracefully for at least another five years thanks to a ripe fruit center, medium acidity, structured tannins and superb overall balance. Smoke and dark char notes permeate the nose and palate of this Long Island Cab, but a fairly concentrated core of black fruit hides within, marked by rustic notes of earth and moss. Black cherry, cassis and wild blackberry notes dominate the nose and mouth, but supporting accents of forest and cigar box spice add depth and interest to the fruit core.
Broquel;33;For several vintages running Broquel has nudged the border between very good and excellent, but as in years past the '06 is a touch tangy and racy, with black cherry, plum and berry flavors. Cab Franc is new to the Broquel lineup, and this is lush, bold and fruity in style, with blackberry, black cherry and mocha flavors in front of a toasty, full-throttle finish. Broquel always offers a little more elegance and pedigree than most value Malbecs, and the 2005 has body, a silky feel and aromas and flavors of tobacco, baked blackberries and leather.
Nouveau;34;This first wine of the vintage, a blend of Pinot Noir, Grenache, and Valdigue, is largely the result of carbonic maceration, a winemaking technique that creates the freshest, sharpest, zingiest aromas and flavors imaginable. Structured, smoky and full of black cherry fruits, this is a wine whose appellation of Villages brings out just that extra bit of weight and richness. A classic and fun Nouveau, this has an extra side of firm tannin that adds weight to an otherwise bold, fruity and food-friendly wine.
Reserva Estate Bottled;34;Straightforward apple and peach aromas announce your basic everyday quaffing Chardonnay: this is low on minerality and acidity, and thus it tastes of banana, melon and vanilla. A crisp pulling palate holds flavors of tomato and spiced plum, while this is mild, with nothing much to speak of on the finish. Mild flavors of white flowers, orange and green herbs are light in intensity, but are coupled with a sense of roundness on the palate.
Branco;34;They don't mask the fruit too much and will integrate soon to give a rich, warm wine that has spiciness and ripe yellow fruit flavors. A wood-aged wine, with ripe yellow fruits, spice and a smooth, creamy character, kept firmly in place by apple skin texture and a flinty edge. Balanced and beautifully ripe, offering notes of apricots and fresh acidity, it's a pour that can be drunk now and will be better from 2016.
Extra Brut;34;The clean look, nice bead and good mouthfeel are the saving graces here, because it smells strange, almost like steamed ballpark hot dogs, and it tastes odd and innocuous, like papaya juice. Full of finesse, it delivers yellow apple and Bartlett pear aromas that carry over to the palate together with notes of almond biscuits and a note of vanilla. A full, yeasty wine, this has gentle acidity, with a touch of smokiness as well as a note of apple It feels full, without the necessary crispness.
Grande Réserve;34;One of the properties owned by the Fontana family, this estate has produced a firm, tannic wine with flavors of ripe black fruits, spice and dark chocolate. From old vines and aged in wood for nine months, this rich blend that is dominated by the local Negrette grape is balanced and packed with fruit. For a plump, medium- to full-bodied wine, this is pungent and citrusy, with lemon and boxwood notes that give the impression of underripeness, despite the labeled alcohol.
Brut Réserve;34;This nonvintage wine is no exception, giving a rich blend of Pinot Noir and Chardonnay that is ripe and driven both by minerality and white-fruit flavors. Boizel is one of those enlightened producers that indicates the date of disgorgement—and therefore how fresh the wine is likely to be—on its nonvintage bottlings. A great wine, much more than only a Champagne, this is impressively rich and ripe, with crisp yellow fruits, spices and layers of toast.
Limited Edition;34;This is a tiny-production blend of 82% Cabernet Sauvignon and 18% Cabernet Franc, the latter sourced from Detert East Vineyard along the Oakville bench, the former from Hendry Ranch in western Napa. But this Limited Edition bottling seems to have a tiny bit more roundness, a touch more complexity to the cassis and olive flavors, and a little more balance from front to back. Medium-intense aromas of black plum, cherry and berry are upfront on the nose of this ripe wine, with supporting notes of woodspice, char and black pepper for added depth.
Rosato;34;This is a blend of Cabernet, Pinot, Sangiovese, Zin and three other varieties, and it will please fruit-forward fans for its wealth of cherries, raspberries, cola and peppermint candy flavors. Made from the native grape Nerello Mascalese grown on Mount Etna, this salmon colored rosato offers bright red cherry, juicy pink grapefruit, nectarine, white pepper and mineral sensations. Here's a wonderful rosé wine from (made with Nerello Mascalese grapes) that opens with a dusty pink color and fragrant tones of berry fruit and crushed stone.
Family Reserve;35;"Dry and tannic, it's very rich in black currants and blackberry jam, but all of the wine's parts need more time to fully integrate; currently, the oak is forward, the acids are tart and citrusy, and the tannins are fierce. There's a touch of hot asphalt, pencil lead and miso on the nose of this first vintage from a promising, well-funded project, with dark elderberry fruit and dried dill rounding out the aromas. Enticing aromas of white lilies, nectarines, white peach, honey-lime water and chalky stone hit the nose on this wine from a new vineyard on Highway 154 in the likely-to-be-named Los Olivos District."
Red Wine;35;With delicious texture and concentration, this Lake County blend of Grenache, Syrah and Mourvedre from the 3,000-foot-high Fore Family Vineyard is intensely good, a deep reddish-purple blueberry-tinged infusion of earth and clove spice with dry, tight tannins and even a little lavender that'll linger. This blend of 44% Shiraz, 34% Merlot and 22% Cabernet Sauvignon boasts dense notes of black berry, cherry and raspberry on the nose and mouth, with soft hints of game, char and roasted cocoa nib. This Cab/Merlot/Syrah blend is very much in a Washington style, with crisp acids and tart berry and currant flavors, wrapped in chocolate and showing a few specks of pepper, presumably from the Syrah.
Kabinett;35;This starts off with some odd wet wool and fresh tar notes, but quickly rights itself, delivering a medium-bodied mouthful of crisp lime and melon fruit. While demure on the nose with faint hints of blossom and mineral, the palate of this sprightly kabinett surges with ripe yellow cherry and peach flavors. Deeply mineral from nose to finish, this off-dry kabinett balances lush peach, apricot and grapefruit flavors with striking earth tones of wet slate and granite.
